timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_gyro0,attack_gyro1,attack_gyro2,gyro_rad[0],gyro_rad[1],gyro_rad[2]
28049669,28049669,28049669,28049669,28049669,28049669,3.973914959,3.973914959,1.26676611,1.263119822,1.270473086,1.267409395,-0.003646287,0.003706976,0.000643285
28053666,28053666,28053666,28053666,28053666,28053666,1.359585447,1.359585447,-3.526748671,-3.531125664,-3.523893944,-3.526663731,-0.004376993,0.002854727,8.49E-05
28057660,28057660,28057660,28057660,28057660,28057660,-2.775337269,-2.775337269,-2.472228838,-2.475164911,-2.47055306,-2.470420081,-0.002936074,0.001675778,0.001808757
28061663,28061663,28061663,28061663,28061663,28061663,-3.823748023,-3.823748023,2.717564413,2.711811868,2.720216318,2.717311362,-0.005752544,0.002651906,-0.000253051
28065663,28065663,28065663,28065663,28065663,28065663,-0.664877654,-0.664877654,3.338004208,3.332774258,3.342037708,3.3382917,-0.00522995,0.0040335,0.000287493
28069714,28069714,28069714,28069714,28069714,28069714,3.064615708,3.064615708,-1.981485366,-1.985770479,-1.977893947,-1.981183346,-0.004285113,0.003591419,0.00030202
28074464,28074464,28074464,28074464,28074464,28074464,3.382902346,3.382902346,0.896691159,0.892803142,0.898809265,0.897593518,-0.003888017,0.002118107,0.000902359
28078469,28078469,28078469,28078469,28078469,28078469,3.438019655,3.438019655,3.989537084,3.987280439,3.991970544,3.990095295,-0.002256645,0.002433461,0.000558211
28082460,28082460,28082460,28082460,28082460,28082460,-0.33237382,-0.33237382,0.432441611,0.428309892,0.435419696,0.431574473,-0.00413172,0.002978085,-0.000867138
28086460,28086460,28086460,28086460,28086460,28086460,-3.712032063,-3.712032063,-3.853280416,-3.858412842,-3.851165134,-3.852790144,-0.005132427,0.002115282,0.000490272
28090464,28090464,28090464,28090464,28090464,28090464,-3.010130476,-3.010130476,-1.657868291,-1.662278821,-1.654705365,-1.656289224,-0.00441053,0.003162926,0.001579067
28094460,28094460,28094460,28094460,28094460,28094460,1.024914557,1.024914557,3.30492813,3.301870051,3.307871561,3.307716922,-0.003058079,0.002943432,0.002788793
28098460,28098460,28098460,28098460,28098460,28098460,3.9155609,3.9155609,2.760823103,2.75768696,2.763345357,2.762432677,-0.003136142,0.002522255,0.001609574
28102460,28102460,28102460,28102460,28102460,28102460,2.486429021,2.486429021,-2.406903244,-2.410423031,-2.403505763,-2.407320245,-0.003519787,0.003397481,-0.000417001
28106460,28106460,28106460,28106460,28106460,28106460,-1.685814818,-1.685814818,-3.543726944,-3.548445643,-3.540769213,-3.542798459,-0.0047187,0.002957731,0.000928485
28110462,28110462,28110462,28110462,28110462,28110462,-3.997888123,-3.997888123,1.268816089,1.263249922,1.272413855,1.269843452,-0.005566167,0.003597766,0.001027363
28114468,28114468,28114468,28114468,28114468,28114468,-1.935994142,-1.935994142,3.941692418,3.936337468,3.944767151,3.942621288,-0.00535495,0.003074733,0.00092887
28118461,28118461,28118461,28118461,28118461,28118461,2.29042911,2.29042911,0.023473846,0.019305245,0.027825727,0.023887557,-0.0041686,0.004351881,0.000413711
