timestamp,attack_trigger,attack_frequency,attack_amplitude,attack_offset,attack_timediff,attack_recovered,attack_gyro0,attack_gyro1,attack_gyro2,true_gyro0,true_gyro1,true_gyro2
228601798,0,0,0,0,0.00396,0,0.042226095,0.56811273,0.015292831,0.19387493,0.13148119,-0.039467458
228605840,0,0,0,0,0.004042,0,0.3269271,0.08118259,-0.057905607,-0.042360857,-0.006493875,-0.02105733
228609800,0,0,0,0,0.00396,0,0.37272125,0.010649708,0.3724808,0.38921547,-0.02048953,0.01017235
228614590,0,0,0,0,0.00479,0,0.11635525,0.40651095,-0.337115,0.02907448,0.03227906,-0.04056804
228618589,0,0,0,0,0.003999,0,0.4800198,0.668295,-0.003599731,0.1838905,-0.047136918,-0.001719135
228622620,0,0,0,0,0.004031,0,0.22694817,0.31253758,-0.4997755,0.24870618,0.088874586,-0.025175955
228626641,0,0,0,0,0.004021,0,0.19549242,-0.30463594,-0.3296718,-0.042075947,0.005482345,-0.004993589
228630589,0,0,0,0,0.003948,0,0.04832982,0.089977205,0.006684321,0.2859256,0.04303775,-0.00366008
228634630,0,0,0,0,0.004041,0,-0.39800856,-0.20165485,0.28843987,0.03911467,0.05399672,-0.0604506
228638595,0,0,0,0,0.003965,0,0.103596196,-0.006212609,-0.24546738,0.027245102,-0.03574864,0.023914028
228642628,0,0,0,0,0.004033,0,-0.25873643,-0.31295136,0.32510558,0.113463335,0.10924577,-0.028340228
228646589,0,0,0,0,0.003961,0,-0.11770304,-0.04360434,0.3219058,-0.20916964,0.043844484,-0.033566885
228650633,0,0,0,0,0.004044,0,0.4735509,0.026509026,-0.21683763,0.26103097,-0.003543654,0.017563887
228654593,0,0,0,0,0.00396,0,-0.3909364,0.004023141,0.24640399,0.15138847,0.13623343,-0.03584854
228658631,0,0,0,0,0.004038,0,-0.10199684,-0.022899024,-0.44323626,-0.18582511,0.090274066,0.000564997
228662594,0,0,0,0,0.003963,0,0.04839691,0.32903722,-0.6082714,0.13984673,0.08909981,-0.03490807
228666645,0,0,0,0,0.004051,0,-0.382725,0.13050987,-0.13590741,-0.067649156,0.05993245,-0.032415193
228670622,0,0,0,0,0.003977,0,0.3489585,-0.1715598,0.47949192,0.1882829,0.035900377,0.015738636
228674699,0,0,0,0,0.004077,0,-0.34560475,-0.2834677,-0.23141646,0.17751773,0.19870467,-0.05511809
228678596,0,0,0,0,0.003897,0,-0.002826843,0.15000474,-0.20778313,-0.19461223,0.046377808,-0.006993104
228682628,0,0,0,0,0.004032,0,0.25062963,0.8937378,-0.16054605,0.1543316,0.000758813,-0.005595918
228686591,0,0,0,0,0.003963,0,-0.4050021,0.9473942,0.46110925,0.10808088,0.080711626,-0.04754316
228690634,0,0,0,0,0.004043,0,0.28393468,0.40779147,-0.39875582,-0.03487391,0.058917414,-0.010673051
228694686,0,0,0,0,0.004052,0,-0.016779887,0.27760556,0.34003964,0.01705898,0.10011498,-0.031592596
228698627,0,0,0,0,0.003941,0,-0.48444036,0.69466406,0.17984425,-0.2226828,-0.05076396,-0.01391595
228702593,0,0,0,0,0.003966,0,0.36271507,0.047113188,-0.28303203,0.24266954,0.006250926,-0.02931038
228706659,0,0,0,0,0.004066,0,-0.63927895,0.27530703,0.17224255,0.15493158,0.09042234,-0.057687804
228710586,0,0,0,0,0.003927,0,0.2594255,0.1563594,0.56289655,-0.23478258,0.028442683,0.011044552
228714634,0,0,0,0,0.004048,0,-0.06755837,-0.42405963,-0.8564258,0.19730654,0.02921918,-0.023825089
228718590,0,0,0,0,0.003956,0,0.09049207,0.2572016,0.22084796,0.051283605,-0.014080339,-0.04021744
228722634,0,0,0,0,0.004044,0,0.30957678,0.92183405,0.18171352,0.018398322,-0.042821374,0.001131972
228726594,0,0,0,0,0.00396,0,-0.12361325,0.047270328,-0.82625544,0.005680614,0.12472721,-0.025886877
228730592,0,0,0,0,0.003998,0,0.35423702,0.29123288,0.7515979,-0.22371668,-0.017485479,-0.002842736
