timestamp,attack_trigger,attack_frequency,attack_amplitude,attack_offset,attack_timediff,attack_recovered,attack_gyro0,attack_gyro1,attack_gyro2,true_gyro0,true_gyro1,true_gyro2
115023465,1,44,2,0.40411294,0.004007,0.024822682,-0.0003475794,0.010556476,0.00795345,0.02850037,-0.014892886,0.004303901
115027459,1,44,2,1.9318149,0.003994,0.02459152,-0.0014021838,0.010444047,0.007604295,0.03001317,-0.014468801,0.0039173136
115031461,1,44,2,1.3295579,0.004002,0.024498567,-0.0010784607,0.010975893,0.007507024,0.030066099,-0.015216092,0.0023191352
115035489,1,44,2,-0.7531259,0.004028,0.024691299,-0.0010826469,0.010337681,0.007614127,0.02971254,-0.013936898,0.0032691308
115039461,1,44,2,-1.9924259,0.003972,0.024691299,-0.0015267847,0.009911043,0.00823908,0.02926091,-0.014041273,0.00410726
115043457,1,44,2,-1.0494368,0.003996,0.024562344,-0.0017748555,0.0108543085,0.009508942,0.02960958,-0.014682326,0.0031606508
115047458,1,44,2,1.0506285,0.004001,0.024472818,-0.0006795704,0.010763518,0.008370349,0.029873392,-0.016381256,0.0049817013
115051464,1,44,2,1.9919575,0.004006,0.023969457,9.37319E-05,0.011400028,0.007435218,0.028958598,-0.015637781,0.0036857394
115055459,1,44,2,0.73369426,0.003995,0.023969457,-0.0005672535,0.010869449,0.0081614535,0.028918542,-0.015848948,0.004841231
115059464,1,44,2,-1.3364261,0.004005,0.024051934,0.0005000459,0.010976983,0.008088072,0.029803649,-0.015543477,0.0036954987
115063466,1,44,2,-1.9294094,0.004002,0.024051934,-0.0005794166,0.0122548705,0.008583716,0.030013802,-0.013616162,0.00391794
115067492,1,44,2,-0.37975696,0.004026,0.024039268,-0.00024140999,0.011188701,0.00795686,0.029763121,-0.014255458,0.0050792703
115071463,1,44,2,1.574847,0.003971,0.024039268,-0.00015151674,0.010972872,0.00848941,0.028829396,-0.015744075,0.004309703
115075458,1,44,2,1.8084025,0.003995,0.024116516,-0.0002381798,0.011721415,0.007850456,0.029367225,-0.015339313,0.002959004
115079466,1,44,2,0.044164717,0.004008,0.02417083,-0.0006737329,0.011295294,0.0081581995,0.028859902,-0.014682107,0.0032451684
115083460,1,44,2,-1.7652632,0.003994,0.024260372,-0.0011056106,0.011614784,0.008356451,0.03080549,-0.013512871,0.0023428106
115087461,1,44,2,-1.6300117,0.004001,0.024383485,-0.0009852514,0.012038402,0.007933021,0.03015005,-0.013618161,0.0027444654
115091454,1,44,2,0.30041137,0.003993,0.024437204,-0.0009992314,0.012572207,0.008358344,0.029825687,-0.013085821,0.00305903
115095462,1,44,2,1.9030755,0.004008,0.024437204,-0.00023167211,0.012677394,0.0076364633,0.02882318,-0.013728121,0.001006216
115099462,1,44,2,1.4036065,0.004,0.024700359,-0.0011660743,0.01088105,0.006975867,0.028826665,-0.015325386,0.0009022523
115103462,1,44,2,-0.6471327,0.004,0.024765536,-0.0015147469,0.011508627,0.0078120013,0.030255532,-0.014150701,0.0029665085
115107462,1,44,2,-1.9815782,0.004,0.024926499,-0.001173241,0.011933204,0.0070757726,0.030856652,-0.013297355,0.0041543376
115111462,1,44,2,-1.1311973,0.004,0.024926499,-0.0008566459,0.010334891,0.007195398,0.030246653,-0.015000953,0.0031806668
115115456,1,44,2,0.9629847,0.003994,0.024827302,-0.00044488168,0.01012404,0.00763445,0.029187487,-0.01426311,0.003568279
115119494,1,44,2,1.9976242,0.004038,0.025276154,-0.0006423225,0.011173313,0.007096769,0.030195862,-0.013826799,0.0048807925
115123459,1,44,2,0.82709223,0.003965,0.02505605,6.451983E-05,0.01097358,0.008502496,0.02990573,-0.014360871,0.0039145094
115127459,1,44,2,-1.2562222,0.004,0.024301007,0.0006995504,0.011619341,0.008517918,0.028536137,-0.01542735,0.0034491697
115131478,1,44,2,-1.9519453,0.004019,0.024443045,-0.0017381685,0.01065657,0.008125948,0.029185867,-0.014789251,0.0031478067
115135466,1,44,2,-0.49020526,0.003988,0.024443045,-0.0016008376,0.010761514,0.0071719326,0.029430322,-0.015002935,0.0020897137
115139497,1,44,2,1.5230409,0.004031,0.024342448,-0.0010631689,0.012358143,0.006972107,0.029635804,-0.012767985,0.0023058446
115143460,1,44,2,1.8493901,0.003963,0.023857191,-0.0004477945,0.009380533,0.007742705,0.029010177,-0.014480927,0.0022944855
115147455,1,44,2,0.14939088,0.003995,0.024015322,-0.00067720003,0.0102325175,0.0082652345,0.029295955,-0.01393843,0.0029371865
